iter	Logloss
0	0.6833634382
1	0.6743322231
2	0.6663820975
3	0.6592412865
4	0.6525071673
5	0.6466497686
6	0.6413963681
7	0.6363429594
8	0.6320625
9	0.6280856992
10	0.6243625023
11	0.6208011882
12	0.6174628848
13	0.6142905797
14	0.6114456031
15	0.6087651774
16	0.6068957578
17	0.6046257731
18	0.6024621931
19	0.6003671352
20	0.5980113409
21	0.596296224
22	0.5945033831
23	0.5926648763
24	0.5909906413
25	0.5889065697
26	0.5874966053
27	0.5860943138
28	0.5844894089
29	0.5829040004
30	0.5815989176
31	0.5804583217
32	0.579264073
33	0.577866769
34	0.5767633522
35	0.5755540074
36	0.5746056257
37	0.5736525879
38	0.5725127593
39	0.5716093517
40	0.5706435896
41	0.5696695033
42	0.5688163481
43	0.5677042818
44	0.5668105759
45	0.5659692848
46	0.5652698858
47	0.5644697614
48	0.563643886
49	0.5630013951
50	0.5623379371
51	0.5615879139
52	0.5608567592
53	0.5601389625
54	0.5595143171
55	0.5589555664
56	0.5583878116
57	0.5575464042
58	0.5569950126
59	0.5564297921
60	0.5557535633
61	0.5550334415
62	0.554355056
63	0.5538662633
64	0.5532695836
65	0.552665539
66	0.5521919003
67	0.5517634452
68	0.5513006011
69	0.5506917492
70	0.5500823916
71	0.549609375
72	0.5489890253
73	0.548586978
74	0.5479619315
75	0.547475865
76	0.5470585705
77	0.5465480899
78	0.5460768229
79	0.545483195
80	0.5450268497
81	0.5445779215
82	0.5441941848
83	0.5437214646
84	0.5433150867
85	0.5428833763
86	0.5424499977
87	0.5420521763
88	0.5416673293
89	0.5411402065
90	0.5407520752
91	0.5402941488
92	0.5397519589
93	0.5394272054
94	0.5390365048
95	0.53855374
96	0.5380497524
97	0.5377861037
98	0.5373196847
99	0.5368695068
100	0.5363862421
101	0.5359521077
102	0.5355093529
103	0.5351136649
104	0.5347763614
105	0.534411842
106	0.5340750326
107	0.5337818952
108	0.5334151437
109	0.5329717262
110	0.5326642427
111	0.5323100179
112	0.5320346796
113	0.5316459031
114	0.5310790841
115	0.5306836286
116	0.5303939965
117	0.5300708938
118	0.5296565058
119	0.5292327532
120	0.5289695115
121	0.5285218157
122	0.5281398868
123	0.5277945557
124	0.527509568
125	0.52721378
126	0.5268785459
127	0.5265135149
128	0.5262262602
129	0.5259141671
130	0.5256649751
131	0.5253281657
132	0.5249699533
133	0.5246887207
134	0.5243114653
135	0.523886649
136	0.5236254825
137	0.5232325614
138	0.5228755232
139	0.5225195487
140	0.5221428165
141	0.5217195464
142	0.5214954485
143	0.5212728911
144	0.5209609259
145	0.5205441604
146	0.5202171282
147	0.5198127674
148	0.5194870838
149	0.5191997012
150	0.5188611828
151	0.5185251697
152	0.5181834019
153	0.5178287237
154	0.517556443
155	0.5172493315
156	0.5168163307
157	0.516520066
158	0.5162831159
159	0.5159647042
160	0.5156231166
161	0.5151936268
162	0.5148813535
163	0.5145095622
164	0.514149013
165	0.5137522321
166	0.5134800793
167	0.5131817801
168	0.5129125337
169	0.5126116536
170	0.5123421224
171	0.5121610282
172	0.5118919271
173	0.5115049351
174	0.511286034
175	0.5109683547
176	0.5106595866
177	0.5102919399
178	0.5100596343
179	0.5098592297
180	0.5095235712
181	0.5092790818
182	0.508886277
183	0.5086179141
184	0.5083678502
185	0.5079832822
186	0.5076596331
187	0.5072659215
188	0.5068571894
189	0.5065016625
190	0.5062263358
191	0.5058292294
192	0.5055278611
193	0.5052846738
194	0.5050163923
195	0.5047905564
196	0.5044351051
197	0.504116147
198	0.5037900972
199	0.5034329078
200	0.5031645973
201	0.5028018857
202	0.5025223505
203	0.5022735654
204	0.5018256429
205	0.5014581473
206	0.501265904
207	0.5007665725
208	0.5004973493
209	0.5002773496
210	0.4998485514
211	0.4995142764
212	0.4992391648
213	0.4990477992
214	0.4987130418
215	0.4984500791
216	0.4981532506
217	0.4979190034
218	0.4975958455
219	0.4972313494
220	0.4970662144
221	0.4967566034
222	0.4964621117
223	0.4961965739
224	0.49590246
225	0.4956333473
226	0.495308245
227	0.4948997134
228	0.4946253371
229	0.4944163324
230	0.4940939244
231	0.4938241955
232	0.493528611
233	0.4931279326
234	0.4929216163
235	0.4925832781
236	0.4922459397
237	0.492036345
238	0.4918001244
239	0.4915019648
240	0.4910905558
241	0.4908262503
242	0.4906060907
243	0.4903022606
244	0.489955331
245	0.4896113514
246	0.4893557885
247	0.4890147967
248	0.4887733416
249	0.4885146833
250	0.4881916824
251	0.4879474139
252	0.4876814924
253	0.4872915126
254	0.4870445934
255	0.4868038388
256	0.4865389491
257	0.4861873605
258	0.486006554
259	0.4857866705
260	0.485592477
261	0.4853015515
262	0.4848927293
263	0.4844898594
264	0.4842037034
265	0.4838289446
266	0.4835219552
267	0.4832944627
268	0.4830811361
269	0.4828387015
270	0.4826455107
271	0.4824140712
272	0.4822209444
273	0.4819010329
274	0.4816383202
275	0.4812711937
276	0.4810961217
277	0.4808016503
278	0.4805748175
279	0.4801795335
280	0.4799131208
281	0.4797502412
282	0.4794837036
283	0.4791982073
284	0.4788757586
285	0.4785450207
286	0.4782514212
287	0.4779951027
288	0.4777418009
289	0.4774048956
290	0.4770849406
291	0.4767899577
292	0.4764960908
293	0.4762790876
294	0.4759451991
295	0.4756677275
296	0.4753375767
297	0.4751312692
298	0.4748396868
299	0.4746112002
300	0.4743455549
301	0.4740684495
302	0.4737243245
303	0.4733897182
304	0.4731596709
305	0.4728448603
306	0.4725737334
307	0.4722616228
308	0.4718815424
309	0.4716314872
310	0.4713932146
311	0.4711098342
312	0.4707145822
313	0.4703954758
314	0.4701472342
315	0.4698334699
316	0.4695343192
317	0.4692894897
318	0.4690222081
319	0.4687108212
320	0.4684618036
321	0.4682515143
322	0.4680607968
323	0.4678412912
324	0.4674938006
325	0.4671211083
326	0.4668069225
327	0.4665234956
328	0.466266401
329	0.466074181
330	0.465834057
331	0.4655331276
332	0.4652421294
333	0.4650302008
334	0.4647606027
335	0.4643934762
336	0.4641074248
337	0.4637528134
338	0.4634905948
339	0.4632437977
340	0.4630623925
341	0.4628696609
342	0.4626994251
343	0.4625002354
344	0.4622743734
345	0.4620241292
346	0.4618156128
347	0.4615755412
348	0.4612816831
349	0.4610052781
350	0.4607307507
351	0.4604742199
352	0.4602160964
353	0.4598984695
354	0.4596734038
355	0.459446757
356	0.4591164289
357	0.4589716593
358	0.4587753528
359	0.4585748698
360	0.4583508737
361	0.4580422073
362	0.4577969767
363	0.4574798613
364	0.4571912696
365	0.4569995698
366	0.4567035116
367	0.4563877389
368	0.4561269735
369	0.4559445249
370	0.4556300369
371	0.4553841727
372	0.4552162563
373	0.4549255778
374	0.4546390294
375	0.4544417318
376	0.4541301299
377	0.4538402303
378	0.453528797
379	0.4532594139
380	0.4529740106
381	0.4527483579
382	0.4523750116
383	0.4521760428
384	0.4520039092
385	0.4516930716
386	0.4514530058
387	0.4510977144
388	0.4509043608
389	0.4506493327
390	0.4504892346
391	0.45026432
392	0.450093936
393	0.4498023565
394	0.4495160261
395	0.4493107532
396	0.4491065819
397	0.4489696917
398	0.4487503749
399	0.448540103
400	0.4482518194
401	0.4480410621
402	0.447862822
403	0.4476223842
404	0.4473882301
405	0.4470615699
406	0.4468442703
407	0.4465444452
408	0.4463977022
409	0.4461565406
410	0.4458532482
411	0.4456219308
412	0.4453771885
413	0.4451597348
414	0.4449212588
415	0.4445618025
416	0.4442749692
417	0.4439869472
418	0.4436861427
419	0.4434206281
420	0.4431967628
421	0.4430058855
422	0.4428070562
423	0.4425000639
424	0.4422887515
425	0.4419951259
426	0.441743879
427	0.4414677502
428	0.4412335002
429	0.4409530552
430	0.4407286144
431	0.4405259051
432	0.4403315197
433	0.4401494431
434	0.4398351586
435	0.4395876436
436	0.439386992
437	0.4391825881
438	0.4388976353
439	0.438561753
440	0.4383404686
441	0.4380568731
442	0.4378719744
443	0.4376682565
444	0.4373515218
445	0.437109593
446	0.4368751918
447	0.4366639085
448	0.4363702974
449	0.4360566958
450	0.4358128546
451	0.435597043
452	0.4353029611
453	0.4350642003
454	0.4347821772
455	0.4345980661
456	0.4343560355
457	0.4341907
458	0.433953622
459	0.4337284081
460	0.4335288813
461	0.4333276978
462	0.4330524786
463	0.4327595447
464	0.432495931
465	0.4323325166
466	0.4321328328
467	0.4319363839
468	0.4317438529
469	0.4314317801
470	0.4312214501
471	0.4309802188
472	0.4307519124
473	0.4305425706
474	0.4303956531
475	0.4301315075
476	0.4298702945
477	0.4295433262
478	0.4293146566
479	0.429083438
480	0.4289246303
481	0.4287796602
482	0.4285505429
483	0.4283481707
484	0.4282058047
485	0.4280252395
486	0.4277671218
487	0.4275241205
488	0.4272952881
489	0.4271188761
490	0.4267043748
491	0.4265461745
492	0.4263608282
493	0.426179891
494	0.425967756
495	0.4256539743
496	0.425445731
497	0.4251276071
498	0.424942316
499	0.4246796904
