iter	Passed	Remaining
0	24	12462
1	39	9898
2	52	8771
3	65	8122
4	77	7646
5	89	7331
6	99	7036
7	110	6793
8	120	6576
9	129	6369
10	139	6198
11	149	6059
12	159	5964
13	168	5857
14	178	5782
15	188	5698
16	198	5635
17	209	5602
18	219	5550
19	229	5499
20	238	5448
21	248	5400
22	258	5358
23	268	5327
24	278	5300
25	289	5271
26	298	5223
27	308	5193
28	317	5157
29	327	5125
30	337	5099
31	346	5069
32	356	5041
33	366	5018
34	376	5000
35	386	4983
36	396	4963
37	406	4940
38	415	4915
39	426	4899
40	435	4877
41	445	4863
42	455	4843
43	466	4830
44	475	4810
45	485	4794
46	495	4774
47	504	4753
48	514	4735
49	525	4725
50	534	4708
51	544	4693
52	554	4676
53	564	4660
54	574	4645
55	583	4622
56	591	4600
57	602	4593
58	611	4573
59	621	4554
60	629	4533
61	639	4518
62	649	4503
63	657	4481
64	666	4463
65	676	4447
66	683	4420
67	692	4400
68	701	4380
69	711	4367
70	719	4349
71	728	4332
72	737	4316
73	746	4299
74	756	4287
75	766	4274
76	775	4258
77	784	4243
78	793	4227
79	802	4214
80	812	4201
81	821	4186
82	830	4171
83	840	4160
84	848	4144
85	858	4131
86	867	4117
87	876	4103
88	885	4089
89	895	4079
90	905	4068
91	920	4081
92	931	4077
93	942	4071
94	953	4065
95	964	4059
96	975	4052
97	985	4043
98	996	4037
99	1007	4029
100	1018	4023
101	1029	4015
102	1040	4012
103	1052	4008
104	1063	4000
105	1074	3992
106	1084	3983
107	1094	3972
108	1104	3961
109	1114	3952
110	1124	3940
111	1134	3929
112	1143	3916
113	1152	3902
114	1162	3890
115	1171	3876
116	1180	3863
117	1189	3850
118	1204	3856
119	1213	3844
120	1223	3830
121	1232	3819
122	1242	3807
123	1251	3795
124	1260	3782
125	1270	3770
126	1279	3758
127	1288	3746
128	1300	3740
129	1309	3727
130	1318	3714
131	1327	3702
132	1337	3690
133	1346	3676
134	1356	3667
135	1366	3656
136	1374	3643
137	1384	3631
138	1393	3620
139	1404	3610
140	1414	3601
141	1424	3591
142	1433	3579
143	1442	3566
144	1452	3555
145	1462	3545
146	1471	3534
147	1481	3522
148	1490	3511
149	1501	3503
150	1511	3493
151	1521	3483
152	1530	3471
153	1540	3460
154	1549	3449
155	1558	3436
156	1568	3427
157	1577	3414
158	1586	3402
159	1598	3397
160	1607	3385
161	1617	3375
162	1626	3362
163	1636	3351
164	1645	3340
165	1655	3330
166	1664	3319
167	1673	3307
168	1683	3297
169	1692	3285
170	1701	3274
171	1710	3261
172	1719	3250
173	1728	3238
174	1737	3226
175	1746	3215
176	1755	3204
177	1765	3193
178	1774	3181
179	1783	3169
180	1795	3164
181	1804	3152
182	1813	3142
183	1823	3130
184	1832	3119
185	1842	3109
186	1851	3099
187	1860	3087
188	1870	3077
189	1880	3068
190	1889	3057
191	1900	3048
192	1909	3037
193	1918	3026
194	1927	3014
195	1936	3002
196	1945	2992
197	1954	2981
198	1963	2970
199	1972	2959
200	1981	2947
201	1990	2937
202	2000	2926
203	2009	2915
204	2018	2905
205	2028	2894
206	2037	2883
207	2046	2873
208	2055	2862
209	2064	2851
210	2074	2840
211	2083	2830
212	2092	2819
213	2101	2808
214	2110	2797
215	2119	2786
216	2128	2775
217	2136	2763
218	2145	2752
219	2154	2742
220	2163	2731
221	2172	2720
222	2182	2710
223	2193	2702
224	2202	2691
225	2211	2680
226	2220	2670
227	2229	2660
228	2239	2649
229	2247	2638
230	2256	2628
231	2265	2617
232	2275	2607
233	2284	2597
234	2295	2588
235	2304	2578
236	2313	2567
237	2321	2556
238	2331	2545
239	2340	2535
240	2350	2525
241	2359	2515
242	2368	2504
243	2377	2494
244	2386	2484
245	2396	2474
246	2405	2463
247	2414	2453
248	2423	2443
249	2432	2432
250	2441	2421
251	2450	2411
252	2458	2400
253	2468	2390
254	2477	2380
255	2485	2369
256	2494	2358
257	2504	2349
258	2513	2338
259	2521	2327
260	2530	2317
261	2539	2307
262	2549	2297
263	2559	2287
264	2568	2277
265	2577	2267
266	2588	2258
267	2597	2248
268	2605	2237
269	2614	2227
270	2623	2216
271	2632	2206
272	2641	2196
273	2651	2186
274	2660	2176
275	2669	2166
276	2678	2156
277	2688	2146
278	2696	2136
279	2706	2126
280	2715	2116
281	2723	2105
282	2732	2095
283	2741	2084
284	2750	2074
285	2759	2064
286	2768	2054
287	2777	2044
288	2786	2034
289	2795	2024
290	2804	2014
291	2814	2004
292	2823	1994
293	2832	1984
294	2841	1974
295	2850	1964
296	2860	1954
297	2868	1944
298	2877	1934
299	2886	1924
300	2895	1914
301	2904	1904
302	2913	1894
303	2923	1884
304	2931	1874
305	2940	1864
306	2949	1854
307	2958	1844
308	2968	1834
309	2977	1824
310	2986	1814
311	2995	1805
312	3004	1795
313	3014	1785
314	3022	1775
315	3032	1765
316	3041	1755
317	3050	1745
318	3059	1735
319	3068	1726
320	3077	1716
321	3086	1706
322	3094	1695
323	3103	1685
324	3112	1676
325	3121	1666
326	3131	1656
327	3140	1646
328	3149	1636
329	3157	1626
330	3167	1617
331	3176	1607
332	3186	1597
333	3194	1587
334	3203	1577
335	3212	1568
336	3221	1558
337	3231	1548
338	3240	1538
339	3248	1528
340	3257	1518
341	3266	1508
342	3274	1498
343	3283	1488
344	3291	1478
345	3300	1469
346	3309	1459
347	3317	1449
348	3327	1439
349	3336	1429
350	3345	1420
351	3354	1410
352	3363	1400
353	3372	1390
354	3380	1380
355	3389	1370
356	3398	1361
357	3406	1351
358	3415	1341
359	3424	1331
360	3432	1321
361	3441	1312
362	3450	1302
363	3459	1292
364	3469	1283
365	3477	1273
366	3487	1263
367	3496	1254
368	3505	1244
369	3513	1234
370	3522	1224
371	3531	1215
372	3539	1205
373	3548	1195
374	3557	1185
375	3566	1176
376	3575	1166
377	3584	1156
378	3592	1147
379	3601	1137
380	3610	1127
381	3619	1117
382	3628	1108
383	3636	1098
384	3644	1088
385	3654	1079
386	3663	1069
387	3672	1060
388	3681	1050
389	3689	1040
390	3698	1031
391	3707	1021
392	3715	1011
393	3725	1002
394	3733	992
395	3742	982
396	3751	973
397	3759	963
398	3768	953
399	3777	944
400	3787	934
401	3795	925
402	3804	915
403	3813	906
404	3822	896
405	3831	887
406	3840	877
407	3849	867
408	3857	858
409	3867	848
410	3876	839
411	3884	829
412	3893	820
413	3902	810
414	3911	801
415	3920	791
416	3929	782
417	3938	772
418	3947	763
419	3956	753
420	3965	744
421	3973	734
422	3982	724
423	3991	715
424	4000	706
425	4009	696
426	4018	687
427	4027	677
428	4036	667
429	4045	658
430	4054	649
431	4063	639
432	4071	630
433	4080	620
434	4090	611
435	4098	601
436	4107	592
437	4115	582
438	4125	573
439	4134	563
440	4143	554
441	4152	544
442	4161	535
443	4170	525
444	4179	516
445	4188	507
446	4197	497
447	4206	488
448	4215	478
449	4225	469
450	4233	460
451	4242	450
452	4251	441
453	4260	431
454	4269	422
455	4278	412
456	4287	403
457	4295	393
458	4304	384
459	4314	375
460	4322	365
461	4332	356
462	4341	346
463	4350	337
464	4359	328
465	4368	318
466	4376	309
467	4385	299
468	4394	290
469	4403	281
470	4412	271
471	4421	262
472	4430	252
473	4439	243
474	4447	234
475	4456	224
476	4465	215
477	4475	205
478	4483	196
479	4492	187
480	4500	177
481	4509	168
482	4517	159
483	4526	149
484	4534	140
485	4543	130
486	4552	121
487	4561	112
488	4569	102
489	4578	93
490	4587	84
491	4596	74
492	4604	65
493	4613	56
494	4621	46
495	4631	37
496	4639	28
497	4648	18
498	4657	9
499	4667	0
